"Rank MSA Population","Name of MSA","Population 2021 Est","Population 2020","Population 2010","Name of CSA","Number of lots available on Zillow","Price of lot for 1%ile by price","Sqft of lot for 1% by price","Lot link for 1%ile by price","Sqft of lot for 10%ile by sqft","Lot Link for 10%ile by size","Number of 1b+1b apartments available on Zillow","Price of 1b+1b apartment for 1%ile by price","Sqft of 1b+1b apartment 1b+1b for 1%ile by price","Apartment 1b+1b link",hud_areaname,"Median rent 1bedroom FY-2023","hud_areaname fy2013","Median rent 1bedroom FY-2013","Rank City Population","Name of Core City","Name of State","population 2021 est","population 2020","Population 2010 ","Area sqkm","Rank MSA GDP","Name of MSA","GDP MSA 2018 in million $","GDP MSA 2017 in million $","State of Core City","MSA median lot sqft","MSA median price per sqft","CoC Number","CoC Name","CoC Category","Overall Homeless, 2019","Unsheltered Homeless, 2019","Urban Area from INRIX","Last Mile speed (mph) 2021","Hours Lost to congestion 2021","Hours Lost to congestion (Pre-covid)"
24,"San Antonio-New Braunfels TX MSA",2601788,2558143,2142508,"San Antonio-New Braunfels-Pearsall TX CSA",258,29000,46217,https://www.zillow.com/homedetails/23312-Mesquite-Bnd-San-Antonio-TX-78264/102522299_zpid/,4792,https://www.zillow.com/homedetails/11334-S-Us-Highway-181-LOT-3-San-Antonio-TX-78223/60098969_zpid/,370,745,888,https://www.zillow.com/homedetails/113-S-Olive-St-B-San-Antonio-TX-78203/2068574591_zpid/,"San Antonio-New Braunfels, TX HUD Metro FMR Area",1138,"San Antonio-New Braunfels, TX HUD Metro FMR Area",738,7,"San Antonio",Texas,1451853,1434625,1327407,1291.9,32,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",133633,124813,"San Antonio-New Braunfels TX",7405.2,48.18,TX-500,"San Antonio/Bexar County CoC","Major Cities",2872,1187,"San Antonio TX",20,23,38.333333333333336
25,"Portland-Vancouver-Hillsboro OR-WA MSA",2511612,2512859,2226009,"Portland-Vancouver–Salem OR-WA CSA",78,85000,14375,https://www.zillow.com/homedetails/0-SW-Humphrey-Park-Rd-Portland-OR-97221/2095482903_zpid/,3920,https://www.zillow.com/homedetails/8659-SE-Insley-St-Portland-OR-97266/2067375712_zpid/,473,1125,450,https://www.zillow.com/homedetails/2044-N-Kilpatrick-St-207-Portland-OR-97217/2061508413_zpid/,"Portland-Vancouver-Hillsboro, OR-WA MSA",1689,"Portland-Vancouver-Hillsboro, OR-WA MSA",807,26,Portland,Oregon,641162,652503,583776,345.8,23,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",164419,154635,"Portland-Vancouver-Hillsboro OR-WA",7840.8,82.77,OR-501,"Portland, Gresham/Multnomah County CoC","Major Cities",4015,2037,"Portland OR",18,48,88.88888888888889
26,"Sacramento-Roseville-Folsom CA MSA",2411428,2397382,2149127,"Sacramento-Roseville CA CSA",34,93900,6098,https://www.zillow.com/homedetails/3724-Haywood-St-Sacramento-CA-95838/2061697856_zpid/,3049,https://www.zillow.com/homedetails/3525-44th-St-Sacramento-CA-95817/96023271_zpid/,179,1099,850,https://www.zillow.com/homedetails/84-Nedra-Ct-APT-4-Sacramento-CA-95822/2061567792_zpid/,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",1518,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",855,35,Sacramento,California,525041,524943,466488,255.4,27,"Sacramento—Roseville—Arden-Arcade, CA (Metropolitan Statistical Area)",145479,137549,"Sacramento-Roseville-Folsom CA",8712,74.3,CA-503,"Sacramento City & County CoC","Major Cities",5561,3900,"Sacramento CA",18,25,65.78947368421052
27,"Pittsburgh PA MSA",2353538,2370930,2356285,"Pittsburgh-New Castle-Weirton PA-OH-WV CSA",71,3500,1307,https://www.zillow.com/homedetails/37-Divinity-St-Pittsburgh-PA-15214/11506106_zpid/,1999,https://www.zillow.com/homedetails/0-54th-St-Pittsburgh-PA-15201/2062512198_zpid/,326,695,650,https://www.zillow.com/homedetails/2208-Woodstock-Ave-FLOOR-1-Pittsburgh-PA-15218/2063236430_zpid/,"Pittsburgh, PA HUD Metro FMR Area",977,"Pittsburgh, PA HUD Metro FMR Area",668,68,Pittsburgh,Pennsylvania,300431,302971,305704,143.5,25,"Pittsburgh, PA (Metropolitan Statistical Area)",152840,147367,"Pittsburgh PA",7405.2,23.21,PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","Suburban CoCs",774,48,"Pittsburgh PA",-,18,36
28,"Austin-Round Rock-Georgetown TX MSA",2352426,2283371,1716289,,112,115000,12807,https://www.zillow.com/homedetails/11501-February-Dr-Austin-TX-78753/144979689_zpid/,5611,https://www.zillow.com/homedetails/4808-Brook-Creek-Cv-Austin-TX-78744/144343251_zpid/,603,1084,550,https://www.zillow.com/homedetails/3106-Speedway-Mkea-106-Austin-TX-78705/2061613481_zpid/,"Austin-Round Rock, TX MSA",1483,"Austin-Round Rock-San Marcos, TX MSA",834,11,Austin,Texas,964177,961855,790390,828.5,26,"Austin-Round Rock, TX (Metropolitan Statistical Area)",146784,136546,"Austin-Round Rock-Georgetown TX",8929.8,69.84,TX-503,"Austin/Travis County CoC","Major Cities",2255,1086,"Austin TX",19,32,69.56521739130436
29,"Las Vegas-Henderson-Paradise NV MSA",2292476,2265461,1951269,"Las Vegas-Henderson NV-AZ CSA",158,75000,11326,https://www.zillow.com/homedetails/622-Harrison-Ave-Las-Vegas-NV-89106/141715877_zpid/,2614,https://www.zillow.com/homedetails/8175-Arville-St-265-Las-Vegas-NV-89139/141562778_zpid/,398,865,468,https://www.zillow.com/homedetails/305-N-10th-St-APT-33-Las-Vegas-NV-89101/7015017_zpid/,"Las Vegas-Henderson-Paradise, NV MSA",1309,"Las Vegas-Paradise, NV MSA",864,25,"Las Vegas",Nevada,646790,641903,583756,367.3,36,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",122423,112288,"Las Vegas-Henderson-Paradise NV",6534,93.47,NV-500,"Las Vegas/Clark County CoC","Major Cities",5530,3317,"Las Vegas NV",20,28,15.909090909090908
30,"Cincinnati OH-KY-IN MSA",2259935,2256884,2137667,"Cincinnati-Wilmington-Maysville OH-KY-IN CSA",51,2000,2831,https://www.zillow.com/homedetails/3016-Cavanaugh-Ave-Cincinnati-OH-45211/110073866_zpid/,2265,https://www.zillow.com/homedetails/2217-Loth-St-2223-Cincinnati-OH-45219/2062572302_zpid/,228,650,450,https://www.zillow.com/homedetails/6505-Palmetto-St-APT-2-Cincinnati-OH-45227/2114834604_zpid/,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",899,"Cincinnati-Middleton, OH-KY-IN HUD Metro FMR Area",597,65,Cincinnati,Ohio,308935,309317,296943,201.5,28,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",141042,137034,"Cincinnati OH-KY-IN",10323.7,32.31,OH-500,"Cincinnati/Hamilton County CoC","Suburban CoCs",1082,31,"Cincinnati OH",20,13,19.40298507462687
31,"Kansas City MO-KS MSA",2199490,2192035,2009342,"Kansas City-Overland Park-Kansas City MO-KS CSA",58,8000,2614,https://www.zillow.com/homedetails/5544-Wabash-Ave-Kansas-City-MO-64130/109885846_zpid/,2625,https://www.zillow.com/homedetails/1800-E-24th-St-Kansas-City-MO-64127/109869571_zpid/,224,695,850,https://www.zillow.com/homedetails/3319-E-30th-St-2E-Kansas-City-MO-64128/2078010296_zpid/,"Kansas City, MO-KS HUD Metro FMR Area",1082,"Kansas City, MO-KS HUD Metro FMR Area",676,37,"Kansas City",Missouri,508394,508090,459787,815.1,33,"Kansas City, MO-KS (Metropolitan Statistical Area)",132703,127540,"Kansas City MO-KS",10478.5,43.49,MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS","Major Cities",1979,320,"Kansas City MO",20,13,23.21428571428571
32,"Columbus OH MSA",2151017,2138926,1901974,"Columbus-Marion-Zanesville OH CSA",49,11900,2614,https://www.zillow.com/homedetails/0-Bowman-Ave-Columbus-OH-43205/2061531027_zpid/,3049,https://www.zillow.com/homedetails/1020-E-Rich-St-Columbus-OH-43205/102267227_zpid/,368,699,527,https://www.zillow.com/homedetails/58-N-Sylvan-Ave-APT-B-Columbus-OH-43204/2061769754_zpid/,"Columbus, OH HUD Metro FMR Area",1010,"Columbus, OH HUD Metro FMR Area",638,14,Columbus,Ohio,906528,905748,787033,569.8,35,"Columbus, OH (Metropolitan Statistical Area)",129328,124070,"Columbus OH",9147.6,32.35,OH-503,"Columbus/Franklin County CoC","Major Cities",1907,382,"Columbus OH",20,13,38.235294117647065
33,"Indianapolis-Carmel-Anderson IN MSA",2126804,2111040,1887877,"Indianapolis-Carmel-Muncie IN CSA",126,6000,4748,https://www.zillow.com/homedetails/1444-W-32nd-St-Indianapolis-IN-46208/1070991_zpid/,3659,https://www.zillow.com/homedetails/1109-Saint-Peter-St-Indianapolis-IN-46203/112843318_zpid/,176,650,616,https://www.zillow.com/homedetails/2865-E-Brookside-Ave-1-Indianapolis-IN-46218/2061620387_zpid/,"Indianapolis-Carmel, IN HUD Metro FMR Area",956,"Indianapolis, IN HUD Metro FMR Area",654,15,"Indianapolis [g]",Indiana,882039,887642,820445,936.5,29,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",140762,134498,"Indianapolis-Carmel-Anderson IN",9430.7,29.98,IN-503,"Indianapolis CoC","Major Cities",1567,105,"Indianapolis IN",17,14,28
34,"Cleveland-Elyria OH MSA",2075662,2088251,2077240,"Cleveland-Akron-Canton OH CSA",19,1999,14810,https://www.zillow.com/homedetails/11115-La-Rose-Ave-Cleveland-OH-44105/33431539_zpid/,7405,https://www.zillow.com/homedetails/1686-Road-5721-Cleveland-TX-77327/2061584122_zpid/,214,575,500,https://www.zillow.com/homedetails/Cleveland-OH-44120/2061739620_zpid/,"Cleveland-Elyria, OH MSA",872,"Cleveland-Elyria-Mentor, OH MSA",623,54,Cleveland,Ohio,367991,372624,396815,201.2,31,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",134369,128662,"Cleveland-Elyria OH",7354.3,19.05,OH-502,"Cleveland/Cuyahoga County CoC","Suburban CoCs",1618,106,"Cleveland OH",19,15,42.85714285714286
35,"Nashville-Davidson–Murfreesboro–Franklin TN MSA",2012476,1989519,1646200,"Nashville-Davidson–Murfreesboro TN CSA",122,60000,58370,https://www.zillow.com/homedetails/0-Due-West-Ave-N-Madison-TN-37115/2105716168_zpid/,6534,https://www.zillow.com/homedetails/500-40th-Ave-N-Nashville-TN-37209/2069580123_zpid/,299,975,728,https://www.zillow.com/homedetails/270-Tampa-Dr-APT-D10-Nashville-TN-37211/41164080_zpid/,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",1353,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",728,21,"Nashville [j]",Tennessee,678851,689447,601222,1232.3,34,"Nashville-Davidson—Murfreesboro—Franklin, TN (Metropolitan Statistical Area)",132202,124550,"Nashville-Davidson--Murfreesboro--Franklin TN",20037.6,28.25,TN-504,"Nashville-Davidson County CoC","Major Cities",1986,585,"Nashville TN",-,16,35.55555555555556
36,"San Jose-Sunnyvale-Santa Clara CA MSA",1952185,2000468,1836911,"San Jose-San Francisco-Oakland CA CSA",10,330000,13591,https://www.zillow.com/homedetails/0-Claitor-Way-San-Jose-CA-95132/243210305_zpid/,1864,https://www.zillow.com/homedetails/0-Chablis-Cl-San-Jose-CA-95132/2061759717_zpid/,235,1650,550,https://www.zillow.com/homedetails/1143-Roewill-Dr-APT-1-San-Jose-CA-95117/2084315267_zpid/,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",2763,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1357,10,"San Jose",California,983489,1013240,945942,461.8,13,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",331020,275293,"San Jose-Sunnyvale-Santa Clara CA",6871.6,235.13,CA-500,"San Jose/Santa Clara City & County CoC","Major Cities",9706,7922,,,,
37,"Virginia Beach-Norfolk-Newport News VA-NC MSA",1803328,1799674,1713954,"Virginia Beach-Norfolk VA-NC CSA",14,140000,9583,https://www.zillow.com/homedetails/1926-Gum-Bridge-Rd-Virginia-Beach-VA-23457/2086345868_zpid/,5227,https://www.zillow.com/homedetails/2236-Powhatan-Ave-1-B-Virginia-Beach-VA-23455/2061840005_zpid/,74,1225,500,https://www.zillow.com/homedetails/2003-Mediterranean-Ave-APT-B2-Virginia-Beach-VA-23451/2096558641_zpid/,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",1215,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",944,42,"Virginia Beach [m]",Virginia,457672,459470,437994,633.8,38,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",100976,96855,"Virginia Beach-Norfolk-Newport News VA-NC",13503.6,27.95,VA-503,"Virginia Beach CoC","Major Cities",260,54,,,,
38,"Providence-Warwick RI-MA MSA",1675774,1676579,1600852,"Boston-Worcester-Providence MA-RI-NH-CT CSA",14,75000,5000,https://www.zillow.com/homedetails/18-Quarry-St-Providence-RI-02904/65818208_zpid/,2614,https://www.zillow.com/homedetails/11-Baldwin-Ct-Providence-RI-02907/65971269_zpid/,145,1200,1244,https://www.zillow.com/homedetails/175-Mount-Pleasant-Ave-2-Providence-RI-02908/2061609496_zpid/,"Providence-Fall River, RI-MA HUD Metro FMR Area",1275,"Providence-Fall River, RI-MA HUD Metro FMR Area",820,135,Providence,"Rhode Island",189692,190934,178042,47.7,42,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",87414,83929,"Providence-Warwick RI-MA",13125,39.33,RI-500,"Rhode Island Statewide CoC","Suburban CoCs",1055,71,"Providence RI",16,38,70.37037037037037
39,"Jacksonville FL MSA",1637666,1605848,1345596,"Jacksonville-St. Marys-Palatka FL-GA CSA",129,16000,2178,https://www.zillow.com/homedetails/0-E-28th-St-Jacksonville-FL-32206/2077024603_zpid/,4791,https://www.zillow.com/homedetails/0-Hardee-St-Jacksonville-FL-32209/2061773967_zpid/,272,750,700,https://www.zillow.com/homedetails/1145-W-25th-St-APT-3-Jacksonville-FL-32209/2085970696_zpid/,"Jacksonville, FL HUD Metro FMR Area",1195,"Jacksonville, FL HUD Metro FMR Area",807,12,"Jacksonville [f]",Florida,954614,949611,821784,1935.5,45,"Jacksonville, FL (Metropolitan Statistical Area)",83186,79650,,,,FL-510,"Jacksonville-Duval, Clay Counties CoC","Major Cities",1654,508,"Jacksonville FL",21,18,34.61538461538461
40,"Milwaukee-Waukesha WI MSA",1566487,1574731,1555908,"Milwaukee-Racine-Waukesha WI CSA",10,6000,4792,https://www.zillow.com/homedetails/2869-N-38th-St-Milwaukee-WI-53210/40448245_zpid/,3485,https://www.zillow.com/homedetails/1032-S-37th-St-Milwaukee-WI-53215/40478554_zpid/,382,680,450,https://www.zillow.com/homedetails/3319-S-99th-Ct-3333-Milwaukee-WI-53227/2065578560_zpid/,"Milwaukee-Waukesha-West Allis, WI MSA",971,"Milwaukee-Waukesha-West Allis, WI MSA",698,31,Milwaukee,Wisconsin,569330,577222,594833,249.2,37,"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",103731,99362,"Milwaukee-Waukesha WI",10890,28.23,WI-501,"Milwaukee City & County CoC","Major Cities",885,114,"Milwaukee WI",19,22,45.833333333333336
41,"Raleigh-Cary NC MSA",1448411,1413982,1130490,"Raleigh-Durham-Cary NC CSA",29,45000,19602,https://www.zillow.com/homedetails/5809-Meadowlark-Ln-Raleigh-NC-27610/6435125_zpid/,4356,https://www.zillow.com/homedetails/817-Rock-Quarry-Rd-Raleigh-NC-27610/6434697_zpid/,132,989,580,https://www.zillow.com/homedetails/4700-Westgrove-St-APT-1106-Raleigh-NC-27606/133200213_zpid/,"Raleigh, NC MSA",1353,"Raleigh-Cary, NC MSA",782,41,Raleigh,"North Carolina",469124,467665,403892,375.8,44,"Raleigh, NC (Metropolitan Statistical Area)",83665,77603,"Raleigh-Cary NC",15681.6,34.15,NC-507,"Raleigh/Wake County CoC","Major Cities",970,236,"Raleigh NC",-,6,28.571428571428577
42,"Oklahoma City OK MSA",1441647,1425695,1252987,"Oklahoma City-Shawnee OK CSA",72,12500,7405,https://www.zillow.com/homedetails/4101-N-Westminster-Rd-Oklahoma-City-OK-73130/2062356388_zpid/,5602,https://www.zillow.com/homedetails/1330-NW-18th-St-Oklahoma-City-OK-73111/2062545976_zpid/,111,590,660,https://www.zillow.com/homedetails/1124-Glade-Ave-Oklahoma-City-OK-73127/2061761140_zpid/,"Oklahoma City, OK HUD Metro FMR Area",873,"Oklahoma City, OK HUD Metro FMR Area",621,20,"Oklahoma City",Oklahoma,687725,681054,579999,1570.1,46,"Oklahoma City, OK (Metropolitan Statistical Area)",81016,74884,"Oklahoma City OK",10402.1,26.66,OK-502,"Oklahoma City CoC","Major Cities",1273,384,"Oklahoma City OK",17,10,19.23076923076923
43,"Memphis TN-MS-AR MSA",1336103,1337779,1316100,"Memphis-Forrest City TN-MS-AR CSA",110,4000,6970,https://www.zillow.com/homedetails/839-E-Waldorf-Ave-Memphis-TN-38106/42146824_zpid/,4356,https://www.zillow.com/homedetails/1017-S-McLean-Blvd-Memphis-TN-38114/42143024_zpid/,133,550,800,https://www.zillow.com/homedetails/1825-Castalia-St-APT-5-Memphis-TN-38114/2127706113_zpid/,"Memphis, TN-MS-AR HUD Metro FMR Area",962,"Memphis, TN-MS-AR HUD Metro FMR Area",697,29,Memphis,Tennessee,628127,633104,646889,769.2,48,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",76749,73289,"Memphis TN-MS-AR",10890,18.52,TN-501,"Memphis/Shelby County CoC","Major Cities",1325,58,"Memphis TN",25,8,9.876543209876543
44,"Richmond VA MSA",1324062,1314434,1186501,,27,25000,12458,https://www.zillow.com/homedetails/2400-Haden-Ave-Richmond-VA-23234/89101634_zpid/,3289,https://www.zillow.com/homedetails/2124-Lamb-Ave-Richmond-VA-23222/2068826996_zpid/,136,880,500,https://www.zillow.com/homedetails/502-N-Adams-St-A-Richmond-VA-23220/2087071834_zpid/,"Richmond, VA MSA",1271,"Richmond, VA HUD Metro FMR Area",826,98,"Richmond [m]",Virginia,226604,226610,204214,155.1,43,"Richmond, VA (Metropolitan Statistical Area)",85792,82739,"Richmond VA",20908.8,16.67,VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","Suburban CoCs",497,170,"Richmond VA",24,10,30.303030303030308
45,"Louisville/Jefferson County KY-IN MSA",1284566,1285439,1202718,"Louisville/Jefferson County–Elizabethtown–Bardstown KY-IN CSA",45,12900,5663,https://www.zillow.com/homedetails/2331-W-Burnett-Ave-Louisville-KY-40210/131849484_zpid/,5663,https://www.zillow.com/homedetails/1351-S-Floyd-St-Louisville-KY-40208/2087605828_zpid/,182,595,300,https://www.zillow.com/homedetails/1412-S-2nd-St-4-Louisville-KY-40208/2071257944_zpid/,"Louisville, KY-IN HUD Metro FMR Area",931,"Louisville, KY-IN HUD Metro FMR Area",626,28,"Louisville [l]",Kentucky,628594,633045,597337,841.5,49,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",72093,69353,"Louisville/Jefferson County KY-IN",9583.2,28.7,KY-501,"Louisville-Jefferson County CoC","Major Cities",1071,118,"Louisville KY",18,7,25.925925925925924
46,"Salt Lake City UT MSA",1263061,1257936,1087873,"Salt Lake City-Provo-Ogden UT CSA",6,185000,6098,https://www.zillow.com/homedetails/1335-W-700-S-Salt-Lake-City-UT-84104/2077552975_zpid/,3920,https://www.zillow.com/homedetails/2019-S-1000-E-Salt-Lake-City-UT-84105/12771101_zpid/,132,950,605,https://www.zillow.com/homedetails/454-S-500-E-APT-10-Salt-Lake-City-UT-84102/2082074449_zpid/,"Salt Lake City, UT HUD Metro FMR Area",1345,"Salt Lake City, UT HUD Metro FMR Area",714,122,"Salt Lake City",Utah,200478,199723,186440,285.7,40,"Salt Lake City, UT (Metropolitan Statistical Area)",94306,88801,"Salt Lake City UT",9147.6,79.87,UT-500,"Salt Lake City & County CoC","Suburban CoCs",1844,193,"Salt Lake City UT",24,10,6.944444444444445
47,"New Orleans-Metairie LA MSA",1261726,1271845,1189866,"New Orleans-Metairie-Hammond LA-MS CSA",239,13000,3101,https://www.zillow.com/homedetails/4647-Dale-St-New-Orleans-LA-70126/84467738_zpid/,2483,https://www.zillow.com/homedetails/8964001-Edward-St-New-Orleans-LA-70131/149049499_zpid/,254,875,550,https://www.zillow.com/homedetails/2110-Piety-St-New-Orleans-LA-70117/2092663377_zpid/,"New Orleans-Metairie, LA HUD Metro FMR Area",1075,"New Orleans-Metairie-Kenner, LA MSA",803,53,"New Orleans [n]",Louisiana,376971,383997,343829,439,47,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",80287,78290,"New Orleans-Metairie LA",7200.5,41.74,LA-503,"New Orleans/Jefferson Parish CoC","Major Cities",1179,430,"New Orleans LA",17,63,79.74683544303797
48,"Hartford-East Hartford-Middletown CT MSA",1211906,1213531,1212381,"Hartford-East Hartford CT CSA",0,,,,,,67,925,800,https://www.zillow.com/homedetails/352-Laurel-St-APT-101-Hartford-CT-06105/2083423203_zpid/,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",1287,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",883,238,Hartford,Connecticut,120576,121054,124775,45.1,39,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",99465,97764,"Hartford-East Hartford-Middletown CT",24829.2,15.87,CT-505,"Connecticut Balance of State CoC","Suburban CoCs",2262,358,"Hartford CT",18,21,61.76470588235295
49,"Buffalo-Niagara Falls NY MSA",1162336,1166902,1135509,"Buffalo-Cheektowaga-Cattaraugus NY CSA",36,9975,3751,https://www.zillow.com/homedetails/950-Humboldt-Pkwy-Buffalo-NY-14211/98037652_zpid/,2500,https://www.zillow.com/homedetails/410-Fulton-St-Buffalo-NY-14210/30207374_zpid/,293,750,700,https://www.zillow.com/homedetails/3195-S-Park-Ave-4-Buffalo-NY-14218/2061507677_zpid/,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",971,"Buffalo-Niagara Falls, NY MSA",625,78,Buffalo,"New York",276807,278349,261310,104.6,,,,,"Buffalo-Cheektowaga NY",8398.4,25.32,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","Suburban CoCs",924,33,"Buffalo NY",18,6,20.68965517241379
50,"Birmingham-Hoover AL MSA",1114262,1115289,1061024,"Birmingham-Hoover-Talladega AL CSA",54,5000,7405,https://www.zillow.com/homedetails/1874-Tarrant-Huffman-Rd-1-Birmingham-AL-35217/2062424110_zpid/,3920,https://www.zillow.com/homedetails/820-6th-St-N-1-Birmingham-AL-35204/2062403574_zpid/,77,400,598,https://www.zillow.com/homedetails/920-4th-Ct-W-Birmingham-AL-35204/941851_zpid/,"Birmingham-Hoover, AL HUD Metro FMR Area",1032,"Birmingham-Hoover, AL HUD Metro FMR Area",723,124,Birmingham,Alabama,197575,200733,212237,380.7,,,,,"Birmingham-Hoover AL",16117.2,13.22,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Suburban CoCs",981,326,"Birmingham AL",17,18,30
